street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
788 Magill Road,788,Magill Road,ADELAIDE,5000,"788 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914572,138.645253,4,Major Cities of Australia,mapbox_api
886 Magill Road,886,Magill Road,ADELAIDE,5000,"886 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914571,138.645267,4,Major Cities of Australia,mapbox_api
18 Upper Sturt Road,18,Upper Sturt Road,ADELAIDE,5000,"18 Upper Sturt Road, Belair South Australia 5052, Australia",CITY OF ADELAIDE,-35.000457,138.632277,4,Major Cities of Australia,mapbox_api
83 Goodwood Road,83,Goodwood Road,ADELAIDE,5000,"83 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.949203,138.589822,4,Major Cities of Australia,mapbox_api
124 Torrens Road,124,Torrens Road,ADELAIDE,5000,"124 Torrens Road, Renown Park South Australia 5008, Australia",CITY OF ADELAIDE,-34.891431,138.575569,4,Major Cities of Australia,mapbox_api
523 Halls Road,523,Torrens Road,ADELAIDE,5000,"523 Halls Road, Highbury South Australia 5089, Australia",CITY OF ADELAIDE,-34.849655,138.721004,4,Major Cities of Australia,mapbox_api
650 Henley Beach Road,650,Henley Beach Road,ADELAIDE,5000,"650 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.569602,4,Major Cities of Australia,mapbox_api
686 Henley Beach Road,686,Henley Beach Road,ADELAIDE,5000,"686 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.569601,4,Major Cities of Australia,mapbox_api
462 Glen Osmond Road,462,Glen Osmond Road,ADELAIDE,5000,"462 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945926,138.624411,4,Major Cities of Australia,mapbox_api
454 Magill Road,454,Magill Road,ADELAIDE,5000,"454 Magill Road, Kensington Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.913932,138.663819,4,Major Cities of Australia,mapbox_api
Palmer Place,585,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
906 Churchill Road,906,Churchill Road,ADELAIDE,5000,"906 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861239,138.58314,4,Major Cities of Australia,mapbox_api
691 Currie Street,691,Currie Street,ADELAIDE,5000,"691 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924643,138.595541,4,Major Cities of Australia,mapbox_api
660 Hindley Street,660,Hindley Street,ADELAIDE,5000,"660 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
440 Franklin Street,440,Franklin Street,ADELAIDE,5000,"440 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927663,138.589731,4,Major Cities of Australia,mapbox_api
838 Grand Junction Road,838,Grand Junction Road,ADELAIDE,5000,"838 Grand Junction Road, Gilles Plains South Australia 5086, Australia",CITY OF ADELAIDE,-34.845888,138.658922,4,Major Cities of Australia,mapbox_api
815 Gawler Place,815,Gawler Place,ADELAIDE,5000,"815 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925169,138.602027,4,Major Cities of Australia,mapbox_api
742 Brighton Road,742,Brighton Road,ADELAIDE,5000,"742 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999309,138.521677,4,Major Cities of Australia,mapbox_api
Hurtle Square,827,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605518,4,Major Cities of Australia,mapbox_api
161 Brighton Road,161,Brighton Road,ADELAIDE,5000,"161 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.991274,138.520739,4,Major Cities of Australia,mapbox_api
45 Grenfell Street,45,Grenfell Street,ADELAIDE,5000,"45 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924538,138.601373,4,Major Cities of Australia,mapbox_api
496 Rundle Street,496,Rundle Street,ADELAIDE,5000,"496 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922473,138.609706,4,Major Cities of Australia,mapbox_api
608 Churchill Road,608,Churchill Road,ADELAIDE,5000,"608 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861235,138.58314,4,Major Cities of Australia,mapbox_api
587 Light Square,587,Light Square,ADELAIDE,5000,"587 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92598,138.59322,4,Major Cities of Australia,mapbox_api
512 Light Square,512,Light Square,ADELAIDE,5000,"512 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925304,138.594282,4,Major Cities of Australia,mapbox_api
558 Torrens Road,558,Torrens Road,ADELAIDE,5000,"558 Torrens Road, Woodville North South Australia 5012, Australia",CITY OF ADELAIDE,-34.870284,138.541014,4,Major Cities of Australia,mapbox_api
249 Rundle Street,249,Rundle Street,ADELAIDE,5000,"249 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922744,138.608961,4,Major Cities of Australia,mapbox_api
George Street,430,George Street,PORT AUGUSTA,5700,"George Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.494312,137.761365,2,Outer Regional Australia,mapbox_api
442 Portrush Road,442,Portrush Road,ADELAIDE,5000,"442 Portrush Road, Linden Park South Australia 5065, Australia",CITY OF ADELAIDE,-34.943437,138.643213,4,Major Cities of Australia,mapbox_api
Palmer Place,255,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
591 Marion Road,591,Marion Road,ADELAIDE,5000,"591 Marion Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.978546,138.555945,4,Major Cities of Australia,mapbox_api
269 Halifax Street,269,Halifax Street,ADELAIDE,5000,"269 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.93256,138.61173,4,Major Cities of Australia,mapbox_api
391 Grand Junction Road,391,Grand Junction Road,ADELAIDE,5000,"391 Grand Junction Road, Wingfield South Australia 5013, Australia",CITY OF ADELAIDE,-34.850345,138.5476,4,Major Cities of Australia,mapbox_api
647 Flinders Street,647,Flinders Street,ADELAIDE,5000,"647 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.610281,4,Major Cities of Australia,mapbox_api
310 Pirie Street,310,Pirie Street,ADELAIDE,5000,"310 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611751,4,Major Cities of Australia,mapbox_api
833 Hindley Street,833,Hindley Street,ADELAIDE,5000,"833 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589635,4,Major Cities of Australia,mapbox_api
105 Hindley Street,105,Hindley Street,ADELAIDE,5000,"105 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923424,138.59565,4,Major Cities of Australia,mapbox_api
697 Currie Street,697,Currie Street,ADELAIDE,5000,"697 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924643,138.595541,4,Major Cities of Australia,mapbox_api
53 Brighton Road,53,Brighton Road,ADELAIDE,5000,"53 Brighton Road, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.982418,138.51969,4,Major Cities of Australia,mapbox_api
222 Elizabeth Street,222,Elizabeth Street,MURRAY BRIDGE,5253,"222 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118182,139.263293,2,Inner Regional Australia,mapbox_api
439 Light Square,439,Light Square,ADELAIDE,5000,"439 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925901,138.593105,4,Major Cities of Australia,mapbox_api
631 Elizabeth Street,631,Elizabeth Street,MURRAY BRIDGE,5253,"631 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118221,139.263252,2,Inner Regional Australia,mapbox_api
Hurtle Square,529,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
147 Hurtle Square,147,Hurtle Square,ADELAIDE,5000,"147 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933227,138.606423,4,Major Cities of Australia,mapbox_api
850 Currie Street,850,Currie Street,ADELAIDE,5000,"850 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924843,138.58953,4,Major Cities of Australia,mapbox_api
70 Queen Street,70,Queen Street,ADELAIDE,5000,"70 Queen Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.974863,138.514903,4,Major Cities of Australia,mapbox_api
297 Rundle Street,297,Rundle Street,ADELAIDE,5000,"297 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609331,4,Major Cities of Australia,mapbox_api
565 Rundle Street,565,Rundle Street,ADELAIDE,5000,"565 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609331,4,Major Cities of Australia,mapbox_api
656 Franklin Street,656,Franklin Street,ADELAIDE,5000,"656 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927663,138.58973,4,Major Cities of Australia,mapbox_api
617 Grenfell Street,617,Grenfell Street,ADELAIDE,5000,"617 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608692,4,Major Cities of Australia,mapbox_api
196 Gawler Place,196,Gawler Place,ADELAIDE,5000,"196 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925175,138.602027,4,Major Cities of Australia,mapbox_api
77 Goodwood Road,77,Goodwood Road,ADELAIDE,5000,"77 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.948684,138.589489,4,Major Cities of Australia,mapbox_api
888 Church Street,888,Church Street,ADELAIDE,5000,"888 Church Street, Marden South Australia 5070, Australia",CITY OF ADELAIDE,-34.888413,138.636976,4,Major Cities of Australia,mapbox_api
128 Gawler Place,128,Gawler Place,ADELAIDE,5000,"128 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925176,138.602027,4,Major Cities of Australia,mapbox_api
Church Street,913,Church Street,ADELAIDE,5000,"Church Street, Glenelg South South Australia 5045, Australia",CITY OF ADELAIDE,-34.991075,138.515159,4,Major Cities of Australia,mapbox_api
167 Port Road,167,Port Road,ADELAIDE,5000,"167 Port Road, Aldinga South Australia 5173, Australia",CITY OF ADELAIDE,-35.267363,138.47884,4,Major Cities of Australia,mapbox_api
116 Currie Street,116,Currie Street,ADELAIDE,5000,"116 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924495,138.596579,4,Major Cities of Australia,mapbox_api
848 Magill Road,848,Magill Road,ADELAIDE,5000,"848 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914571,138.645262,4,Major Cities of Australia,mapbox_api
662 Carrington Street,662,Carrington Street,ADELAIDE,5000,"662 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931301,138.604395,4,Major Cities of Australia,mapbox_api
559 Rundle Street,559,Rundle Street,ADELAIDE,5000,"559 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609331,4,Major Cities of Australia,mapbox_api
817 Franklin Street,817,Franklin Street,ADELAIDE,5000,"817 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927729,138.58835,4,Major Cities of Australia,mapbox_api
807 Port Road,807,Port Road,ADELAIDE,5000,"807 Port Road, Woodville South Australia 5011, Australia",CITY OF ADELAIDE,-34.879308,138.533991,4,Major Cities of Australia,mapbox_api
226 Carrington Street,226,Carrington Street,ADELAIDE,5000,"226 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931299,138.604437,4,Major Cities of Australia,mapbox_api
457 Waymouth Street,457,Waymouth Street,ADELAIDE,5000,"457 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
793 Rundle Street,793,Rundle Street,ADELAIDE,5000,"793 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609332,4,Major Cities of Australia,mapbox_api
959 Morphett Street,959,Morphett Street,ADELAIDE,5000,"959 Morphett Street, Windsor Gardens South Australia 5087, Australia",CITY OF ADELAIDE,-34.861312,138.652972,4,Major Cities of Australia,mapbox_api
621 Marion Road,621,Marion Road,ADELAIDE,5000,"621 Marion Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.974957,138.55563,4,Major Cities of Australia,mapbox_api
558 Grand Junction Road,558,Grand Junction Road,ADELAIDE,5000,"558 Grand Junction Road, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.851247,138.533716,4,Major Cities of Australia,mapbox_api
254 Carrington Street,254,Carrington Street,ADELAIDE,5000,"254 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930852,138.609657,4,Major Cities of Australia,mapbox_api
296 Goodwood Road,296,Goodwood Road,ADELAIDE,5000,"296 Goodwood Road, Clarence Park South Australia 5034, Australia",CITY OF ADELAIDE,-34.962927,138.590164,4,Major Cities of Australia,mapbox_api
506 Churchill Road,506,Churchill Road,ADELAIDE,5000,"506 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861234,138.58314,4,Major Cities of Australia,mapbox_api
264 Grand Junction Road,264,Grand Junction Road,ADELAIDE,5000,"264 Grand Junction Road, Athol Park South Australia 5012, Australia",CITY OF ADELAIDE,-34.851468,138.543473,4,Major Cities of Australia,mapbox_api
304 Morphett Street,304,Morphett Street,ADELAIDE,5000,"304 Morphett Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.93132,138.594382,4,Major Cities of Australia,mapbox_api
872 Grand Junction Road,872,Grand Junction Road,ADELAIDE,5000,"872 Grand Junction Road, Gilles Plains South Australia 5086, Australia",CITY OF ADELAIDE,-34.845419,138.663115,4,Major Cities of Australia,mapbox_api
166 Waymouth Street,166,Waymouth Street,ADELAIDE,5000,"166 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925879,138.59765,4,Major Cities of Australia,mapbox_api
332 Grand Junction Road,332,Grand Junction Road,ADELAIDE,5000,"332 Grand Junction Road, Enfield South Australia 5085, Australia",CITY OF ADELAIDE,-34.848343,138.601999,4,Major Cities of Australia,mapbox_api
139 Flinders Street,139,Flinders Street,ADELAIDE,5000,"139 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927362,138.601021,4,Major Cities of Australia,mapbox_api
767 Prospect Road,767,Prospect Road,ADELAIDE,5000,"767 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.857526,138.592003,4,Major Cities of Australia,mapbox_api
831 Currie Street,831,Currie Street,ADELAIDE,5000,"831 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924642,138.595552,4,Major Cities of Australia,mapbox_api
458 Prospect Road,458,Prospect Road,ADELAIDE,5000,"458 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.85945,138.591837,4,Major Cities of Australia,mapbox_api
314 George Street,314,George Street,ADELAIDE,5000,"314 George Street, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.926577,138.637012,4,Major Cities of Australia,mapbox_api
349 Marion Road,349,Marion Road,ADELAIDE,5000,"349 Marion Road, North Plympton South Australia 5037, Australia",CITY OF ADELAIDE,-34.958076,138.554651,4,Major Cities of Australia,mapbox_api
957 Franklin Street,957,Franklin Street,ADELAIDE,5000,"957 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927729,138.588353,4,Major Cities of Australia,mapbox_api
104 Port Road,104,Port Road,ADELAIDE,5000,"104 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905355,138.571737,4,Major Cities of Australia,mapbox_api
132 Halifax Street,132,Halifax Street,ADELAIDE,5000,"132 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932659,138.604194,4,Major Cities of Australia,mapbox_api
899 Elizabeth Street,899,Elizabeth Street,MURRAY BRIDGE,5253,"899 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118245,139.263227,2,Inner Regional Australia,mapbox_api
784 Wellington Square,784,Wellington Square,ADELAIDE,5000,"784 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906318,138.591271,4,Major Cities of Australia,mapbox_api
535 Uley Road,535,Unley Road,ADELAIDE,5000,"535 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698645,138.713788,4,Major Cities of Australia,mapbox_api
732 Pulteney Street,732,Pulteney Street,ADELAIDE,5000,"732 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935373,138.606516,4,Major Cities of Australia,mapbox_api
707 Main North Road,707,Main North Road,ADELAIDE,5000,"707 Main North Road, Munno Para South Australia 5115, Australia",CITY OF ADELAIDE,-34.677949,138.69681,4,Major Cities of Australia,mapbox_api
Hurtle Square,915,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
291 Brighton Road,291,Brighton Road,ADELAIDE,5000,"291 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001238,138.521394,4,Major Cities of Australia,mapbox_api
559 Waymouth Street,559,Waymouth Street,ADELAIDE,5000,"559 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589085,4,Major Cities of Australia,mapbox_api
438 Elizabeth Street,438,Elizabeth Street,MURRAY BRIDGE,5253,"438 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118202,139.263272,2,Inner Regional Australia,mapbox_api
